# corpus-wide term-usage Pareto over all 32 class corpora (14M text)
# generated by scripts/term-pareto.sh products/*/*/

RANK  COUNT    CUM%    TERM
1     24554    6.3     in
2     8760     8.6     int
3     6585     10.3    type
4     6176     11.9    function
5     5851     13.4    value
6     5850     14.9    return
7     5148     16.3    list
8     4630     17.5    data
9     4629     18.7    use
10    4473     19.8    proof
11    4160     20.9    program
12    3544     21.8    loop
13    3518     22.7    variable
14    3376     23.6    state
15    3179     24.4    set
16    2671     25.1    call
17    2624     25.8    class
18    2601     26.5    expression
19    2591     27.1    first
20    2553     27.8    new
21    2552     28.4    string
22    2499     29.1    logic
23    2353     29.7    process
24    2342     30.3    node
25    2339     30.9    tree
26    2326     31.5    any
27    2165     32.1    read
28    2145     32.6    language
29    2069     33.2    make
30    2047     33.7    size
31    2047     34.2    semantics
32    1986     34.7    get
33    1943     35.2    stack
34    1920     35.7    left
35    1907     36.2    structure
36    1897     36.7    def
37    1880     37.2    block
38    1866     37.7    key
39    1824     38.2    integer
40    1807     38.6    invariant
41    1792     39.1    term
42    1777     39.5    element
43    1757     40.0    add
44    1756     40.5    work
45    1754     40.9    next
46    1722     41.4    file
47    1697     41.8    method
48    1691     42.2    array
49    1677     42.7    address
50    1625     43.1    common subexpression elimination
51    1589     43.5    common-subexpression elimination
52    1459     43.9    uniform substitution
53    1455     44.2    algorithm
54    1423     44.6    model
55    1419     45.0    main
56    1413     45.3    test
57    1307     45.7    differential invariant
58    1305     46.0    index
59    1292     46.4    axiom
60    1288     46.7    object
61    1267     47.0    null
62    1264     47.3    pointer
63    1250     47.7    exp
64    1232     48.0    register
65    1230     48.3    page
66    1219     48.6    error
67    1187     48.9    argument
68    1181     49.2    public
69    1156     49.5    id
70    1153     49.8    substitution
71    1140     50.1    length
72    1134     50.4    path
73    1128     50.7    char
74    1118     51.0    free
75    1101     51.3    syntax
76    1098     51.6    recursive
77    1088     51.8    cut
78    1075     52.1    property
79    1068     52.4    fact
80    1067     52.7    reduce
81    1053     53.0    proposition
82    1042     53.2    graph
83    1018     53.5    virtual
84    1016     53.7    bit
85    1006     54.0    statement
86    991      54.3    application
87    982      54.5    output
88    978      54.8    proc
89    970      55.0    thread
90    963      55.3    assignment
91    959      55.5    map
92    959      55.8    car
93    945      56.0    cache
94    911      56.2    goto
95    892      56.5    root
96    882      56.7    heap
97    877      56.9    binary
98    873      57.2    operator
99    873      57.4    compiler
100   863      57.6    reference
101   856      57.8    event
102   854      58.0    apply
103   832      58.3    http
104   827      58.5    insert
105   824      58.7    byte
106   822      58.9    double
107   810      59.1    const
108   809      59.3    join
109   805      59.5    struct
110   798      59.7    flow
111   792      59.9    optimization
112   786      60.1    implementation
113   784      60.3    source
114   783      60.5    theory
115   772      60.7    query
116   770      60.9    lemma
117   756      61.1    exception
118   755      61.3    testing
119   736      61.5    range
120   734      61.7    store
121   734      61.9    lock
122   732      62.1    word
123   730      62.3    software engineering
124   714      62.5    recursion
125   714      62.7    context
126   705      62.8    differential invariant axiom
127   704      63.0    pattern
128   683      63.2    pass
129   675      63.4    parameter
130   672      63.5    iteration
131   672      63.7    hybrid game
132   669      63.9    queue
133   665      64.1    symbol
134   663      64.2    sequent
135   652      64.4    shift
136   652      64.6    %rsp
137   649      64.7    requires
138   646      64.9    initiation interval
139   638      65.1    top
140   627      65.2    checking
141   626      65.4    domain
142   622      65.6    sequence
143   620      65.7    reasoning
144   616      65.9    boolean
145   614      66.0    library
146   599      66.2    field
147   595      66.3    constructor
148   579      66.5    instance
149   578      66.6    exists
150   562      66.8    open
151   547      66.9    evaluation
152   546      67.1    transition
153   546      67.2    data structure
154   540      67.3    random
155   534      67.5    fixed-point solution
156   524      67.6    equivalence
157   524      67.8    abstraction
158   512      67.9    procedure
159   511      68.0    relation
160   511      68.2    cons
161   508      68.3    judgment
162   504      68.4    interface
163   500      68.5    front
